,True Single,Single,Pair,Two Pair,Three of a Kind,Full House,Four of a Kind,Yahtzee,Small Straight,Large Straight
True Single,0.03085375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Single,0.0,0.09258175,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Pair,0.0,0.0,0.4631055,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Two Pair,0.0,0.0,0.0,0.2314055,0.0,0.0,0.0,0.0,0.0,0.0
Three of a Kind,0.0,0.0,0.0,0.0,0.15429225,0.0,0.0,0.0,0.0,0.0
Full House,0.0,0.0,0.0,0.0,0.0,0.03857475,0.0,0.0,0.0,0.0
Four of a Kind,0.0,0.0,0.0,0.0,0.0,0.0,0.0192805,0.0,0.0,0.0
Yahtzee,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00075975,0.0,0.0
Small Straight,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12332,0.0
Large Straight,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03089175
